Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2020-01-01 01:00:00,Lämpö,MWh,2020,1,1,1,0.119,1.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 02:00:00,Lämpö,MWh,2020,1,1,2,0.117,1.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 03:00:00,Lämpö,MWh,2020,1,1,3,0.133,1.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 04:00:00,Lämpö,MWh,2020,1,1,4,0.132,1.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 05:00:00,Lämpö,MWh,2020,1,1,5,0.113,1.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 06:00:00,Lämpö,MWh,2020,1,1,6,0.127,1.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 07:00:00,Lämpö,MWh,2020,1,1,7,0.13,2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 08:00:00,Lämpö,MWh,2020,1,1,8,0.117,2.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 09:00:00,Lämpö,MWh,2020,1,1,9,0.129,2.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 10:00:00,Lämpö,MWh,2020,1,1,10,0.087,3.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 11:00:00,Lämpö,MWh,2020,1,1,11,0.087,3.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 12:00:00,Lämpö,MWh,2020,1,1,12,0.105,4.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 13:00:00,Lämpö,MWh,2020,1,1,13,0.074,5.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 14:00:00,Lämpö,MWh,2020,1,1,14,0.084,5.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 15:00:00,Lämpö,MWh,2020,1,1,15,0.098,5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 16:00:00,Lämpö,MWh,2020,1,1,16,0.086,4.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 17:00:00,Lämpö,MWh,2020,1,1,17,0.112,4.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 18:00:00,Lämpö,MWh,2020,1,1,18,0.059,5.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 19:00:00,Lämpö,MWh,2020,1,1,19,0.099,5.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 20:00:00,Lämpö,MWh,2020,1,1,20,0.076,5.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 21:00:00,Lämpö,MWh,2020,1,1,21,0.089,6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 22:00:00,Lämpö,MWh,2020,1,1,22,0.082,6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-01 23:00:00,Lämpö,MWh,2020,1,1,23,0.087,5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 00:00:00,Lämpö,MWh,2020,1,2,0,0.084,4.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 01:00:00,Lämpö,MWh,2020,1,2,1,0.108,5.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 02:00:00,Lämpö,MWh,2020,1,2,2,0.08,5.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 03:00:00,Lämpö,MWh,2020,1,2,3,0.125,5.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 04:00:00,Lämpö,MWh,2020,1,2,4,0.107,5.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 05:00:00,Lämpö,MWh,2020,1,2,5,0.085,5.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 06:00:00,Lämpö,MWh,2020,1,2,6,0.098,5.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 07:00:00,Lämpö,MWh,2020,1,2,7,0.11,4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 08:00:00,Lämpö,MWh,2020,1,2,8,0.117,4.4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 09:00:00,Lämpö,MWh,2020,1,2,9,0.114,4.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 10:00:00,Lämpö,MWh,2020,1,2,10,0.1,3.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 11:00:00,Lämpö,MWh,2020,1,2,11,0.089,4,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 12:00:00,Lämpö,MWh,2020,1,2,12,0.096,4.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 13:00:00,Lämpö,MWh,2020,1,2,13,0.095,4.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 14:00:00,Lämpö,MWh,2020,1,2,14,0.084,4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 15:00:00,Lämpö,MWh,2020,1,2,15,0.092,4.8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 16:00:00,Lämpö,MWh,2020,1,2,16,0.084,5.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-01-02 17:00:00,Lämpö,MWh,2020,1,2,17,0.093,5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
