,m,,dayof,22018_z1_AC1,22018_z1_Light,22018_z1_Plug,22018_z2_AC1,22018_z2_Light,22018_z2_Plug,22018_z3_Light,22018_z3_Plug,22018_z4_Light,32018_z1_AC4,32018_z1_Light,32018_z1_Plug,32018_z2_AC1,32018_z2_Light,32018_z2_Plug,32018_z3_Light,32018_z4_AC1,32018_z4_Light,32018_z4_Plug,32018_z5_AC1,32018_z5_Light,32018_z5_Plug,42018_z1_AC4,42018_z1_Light,42018_z1_Plug,42018_z2_AC1,42018_z2_Light,42018_z2_Plug,42018_z3_Light,42018_z4_AC1,42018_z4_Light,42018_z4_Plug,42018_z5_AC1,42018_z5_Light,42018_z5_Plug,52018_z1_Light,52018_z1_Plug,52018_z2_Light,52018_z2_Plug,52018_z3_Light,52018_z4_Light,52018_z4_Plug,52018_z5_Light,52018_z5_Plug,62018_z1_Light,62018_z1_Plug,62018_z2_Light,62018_z2_Plug,62018_z3_Light,62018_z4_Light,62018_z4_Plug,62018_z5_Light,62018_z5_Plug,72018_z1_AC2,72018_z1_AC3,72018_z1_Light,72018_z1_Plug,72018_z2_Light,72018_z2_Plug,72018_z3_Light,72018_z4_Light,72018_z4_Plug,72018_z5_Light
1,7,0,6,0.0,0.0106666666666666,0.15,1.0318333333333334,0.0,0.0713333333333333,0.052,0.3165,0.0,0.07,0.0,0.0299999999999999,0.0,0.0,0.0318333333333333,0.1356666666666666,0.0,0.0,0.02,0.0,0.0,0.0223333333333333,8.764000000000001,0.0025423728813559,0.2283333333333333,0.0,0.0001694915254237,0.2042372881355932,0.119,0.0,0.0,0.0751666666666666,0.0,0.0,0.098,0.3413333333333333,0.1478333333333333,0.0001724137931034,0.0317241379310344,0.0263333333333333,0.0,0.2493333333333333,0.0,0.01,0.0,0.2696666666666666,0.01,0.0481666666666666,0.02,0.0,0.0998333333333333,0.0,0.0488333333333333,0.0,0.01,0.0001666666666666,0.0496666666666666,0.0,0.0005,0.02,0.2145,0.0001666666666666,0.0
1,7,1,6,0.0,0.0121666666666666,0.1496666666666666,1.0405,0.0,0.0715,0.0411666666666666,0.3166666666666666,0.0,0.07,0.0,0.0299999999999999,0.0,0.0,0.0321666666666666,0.0326666666666666,0.0,0.0,0.02,0.0,0.0,0.0223333333333333,8.8195,0.0023333333333333,0.2256666666666666,0.0,0.0,0.2386666666666666,0.0898333333333333,0.0,0.0001694915254237,0.0772881355932203,0.0,0.0001694915254237,0.1036666666666666,0.3423333333333334,0.1736666666666666,0.0001694915254237,0.0315254237288135,0.0501666666666666,0.0,0.1625,0.0,0.01,0.0,0.195,0.01,0.0551666666666666,0.0205,0.0003389830508474,0.1021666666666666,0.0001724137931034,0.0511864406779661,0.0,0.01,0.0001666666666666,0.0483333333333333,0.0,0.0005,0.02,0.2601666666666666,0.0,0.0
1,7,2,6,0.0,0.0111666666666666,0.1486666666666666,1.0408333333333333,0.0,0.0669999999999999,0.0268333333333333,0.3165,0.0,0.07,0.0,0.0299999999999999,0.0,0.0,0.0316666666666666,0.0585,0.0,0.0,0.02,0.0,0.0,0.0215,8.8245,0.0026666666666666,0.2255,0.0,0.0,0.189,0.0873333333333333,0.0,0.0,0.0753333333333333,0.0,0.0,0.1103333333333333,0.3401666666666667,0.1678333333333333,0.0003389830508474,0.0316949152542372,0.0565,0.0,0.2336666666666666,0.0,0.01,0.0,0.2685,0.01,0.0598333333333333,0.0201666666666666,0.0001694915254237,0.0995,0.0001754385964912,0.0445762711864406,0.0,0.01,0.0,0.0495,0.0,0.0005,0.02,0.3093333333333333,0.0,0.0
1,7,3,6,0.0,0.0106666666666666,0.149,1.0448333333333335,0.0,0.063,0.0536666666666666,0.3165,0.0,0.0698333333333333,0.0,0.0299999999999999,0.0,0.0001666666666666,0.0315,0.0576666666666666,0.0,0.0,0.02,0.0,0.0,0.0218333333333333,8.798,0.0026666666666666,0.2205,0.0,0.0,0.2645,0.0878333333333333,0.0,0.0,0.0741666666666666,0.0,0.0,0.1373333333333333,0.3281666666666666,0.1671666666666666,0.0,0.0299999999999999,0.1191666666666666,0.0,0.2445,0.0,0.01,0.0,0.2095,0.01,0.0611666666666666,0.02,0.0,0.0925,0.0,0.0438333333333333,0.0,0.01,0.0001666666666666,0.044,0.0,0.0005,0.02,0.2526666666666666,0.0,0.0
1,7,4,6,0.0,0.0115,0.1486666666666666,1.0481666666666667,0.0,0.0648333333333333,0.111,0.3148333333333333,0.0,0.0698333333333333,0.0,0.0299999999999999,0.0,0.0,0.0311666666666666,0.0261666666666666,0.0,0.0,0.02,0.0,0.0,0.0211666666666666,8.784833333333333,0.0021666666666666,0.222,0.0,0.0,0.1523333333333333,0.0886666666666666,0.0,0.0,0.0738333333333333,0.0,0.0001666666666666,0.145,0.328,0.1788333333333333,0.0,0.0303333333333333,0.0565,0.0,0.2645,0.0,0.01,0.0,0.2608333333333333,0.01,0.0615,0.02,0.0,0.0918333333333333,0.0,0.0518333333333333,0.0,0.01,0.0,0.048,0.0,0.0003333333333333,0.0213333333333333,0.212,0.0,0.0
1,7,5,6,0.0,0.0115,0.1458333333333333,0.1123333333333333,0.0,0.0674999999999999,0.052,0.3106666666666667,0.0,0.0694999999999999,0.0,0.0299999999999999,0.0,0.0,0.0311666666666666,0.0406666666666666,0.0,0.0,0.02,0.0,0.0,0.0206666666666666,8.780166666666666,0.2048333333333333,0.22,0.0,0.077,0.2691666666666666,0.1684999999999999,0.0,0.1768333333333333,0.0733333333333333,0.0,0.0,0.0985,0.3276666666666666,0.1615,0.0,0.0299999999999999,0.058,0.0098333333333333,0.2966666666666667,0.0,0.01,0.0,0.2163333333333333,0.01,0.0613333333333333,0.0201666666666666,0.0001694915254237,0.1014999999999999,0.0,0.0442372881355932,0.0,0.01,0.0006666666666666,0.05,0.0,0.0003333333333333,0.0208333333333333,0.1408333333333333,0.0,0.0
1,7,6,6,0.0,0.0115,0.1431666666666666,1.0973333333333335,0.0,0.0701666666666666,0.0545,0.3006666666666666,0.0,0.0688333333333333,0.0,0.0299999999999999,0.0,0.0,0.0308333333333333,0.0968333333333333,0.0,0.0,0.02,0.0,0.0,0.0211666666666666,8.803500000000001,0.644,0.2203333333333333,0.0,0.2873333333333334,0.1998333333333333,0.1773333333333333,0.0,0.5496666666666666,0.0718333333333333,0.0,0.0,0.101,0.3271666666666667,0.1629999999999999,0.0,0.0299999999999999,0.0563333333333333,0.0,0.2153333333333333,0.0,0.01,0.0,0.2455,0.01,0.0605,0.02,0.0001694915254237,0.098,0.0,0.0466101694915254,0.0,0.01,0.0003333333333333,0.052,0.0,0.0003333333333333,0.02,0.081,0.0,0.0
1,7,7,6,0.0,0.0115,0.1466666666666666,1.0893333333333333,0.0,0.0708333333333333,0.0131666666666666,0.3023333333333333,0.0,0.0681666666666666,0.0,0.0299999999999999,0.0,0.0,0.0315,0.076,0.0,0.0,0.02,0.0,0.0,0.021,8.989,0.0031666666666666,0.2221666666666666,0.0,0.0,0.2361666666666666,0.0641666666666666,0.0,0.0,0.0728333333333333,0.0,0.0,0.1128333333333333,0.3321666666666666,0.1573333333333333,0.0,0.0299999999999999,0.1193333333333333,0.0,0.1684999999999999,0.0,0.01,0.0,0.217,0.01,0.0515,0.0203333333333333,0.0003448275862068,0.0951666666666666,0.0001724137931034,0.0467241379310344,0.0,0.01,0.0001666666666666,0.0583333333333333,0.0,0.0003333333333333,0.02,0.1301666666666666,0.0,0.0
1,7,8,6,0.0,0.0108333333333333,0.1496666666666666,1.0181666666666669,0.0,0.0655,0.0668333333333333,0.3061666666666667,0.0,0.07,0.0,0.0299999999999999,0.0,0.0,0.0316666666666666,0.0101666666666666,0.0,0.0,0.02,0.0,0.0,0.0218333333333333,9.241333333333332,0.0044067796610169,0.2258333333333333,0.0,0.0001694915254237,0.2086440677966101,0.076,0.0,0.0,0.0748333333333333,0.0,0.0,0.1131666666666666,0.3355,0.1556666666666666,0.0,0.0299999999999999,0.058,0.0,0.2679999999999999,0.0,0.01,0.0,0.2345,0.01,0.0528333333333333,0.02,0.3221666666666666,0.1035,0.1938983050847457,0.0503333333333333,0.0,0.01,0.0,0.0533333333333333,0.0,0.0008333333333333,0.02,0.082,0.0,0.0
1,7,9,6,0.0,0.0111666666666666,0.148,1.0536666666666668,0.0,0.0643333333333333,0.1,0.3045,0.0,0.0698333333333333,0.0001666666666666,0.0298333333333333,0.0,0.0001666666666666,0.0316666666666666,0.0576666666666666,0.0,0.0,0.02,0.0,0.0,0.0215,9.346833333333333,0.0063333333333333,0.2213333333333333,0.0,0.0,0.2133333333333333,0.116,0.0,0.0,0.0735,0.0,0.0,0.1085,0.3298333333333333,0.1949999999999999,0.0001666666666666,0.0303333333333333,0.0568333333333333,0.0,0.2361666666666666,0.0,0.01,0.0,0.2561666666666667,0.01,0.0531666666666666,0.02,1.198,0.1375,0.369,0.0643333333333333,0.0,0.01,0.6535,0.0591666666666666,1.5073333333333332,0.0061666666666666,0.1536666666666666,0.0778333333333333,0.0001666666666666,0.0
