Time,Name,Unit,Year,Month,Day,Hour,Consumption,Temp_outside,Käyttötarkoitus,Bruttoala,Kerrosala,Huoneistoala,Kokonaistilavuus,Rakennustyyppi,ids
2021-10-14 06:00:00.000,Lämpö,MWh,2021,10,14,6,0.113,1.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2021-02-03 16:00:00.000,"Sähkö, Pätö",kWh,2021,2,3,16,15.0830000001006,-10.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-06-14 00:00:00.000,Lämpö,MWh,2022,6,14,0,0.009,10.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-03-06 21:00:00.000,Lämpö,MWh,2023,3,6,21,0.198,-17.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-07-07 18:00:00.000,"Sähkö, Pätö",kWh,2022,7,7,18,9.14700000011362,17.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-07-06 23:00:00.000,"Sähkö, Pätö",kWh,2022,7,6,23,22.5520000001416,10.1,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-23 14:00:00.000,"Sähkö, Pätö",kWh,2023,6,23,14,16.365000000177,20.7,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-02-06 18:00:00.000,"Sähkö, Pätö",kWh,2023,2,6,18,12.4141599999927,-0.2,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-12-02 18:00:00.000,"Sähkö, Pätö",kWh,2022,12,2,18,-2.20349999999161,-3.6,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2022-11-24 11:00:00.000,Lämpö,MWh,2022,11,24,11,0.197,-4.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-04-30 06:00:00.000,Lämpö,MWh,2023,4,30,6,0.106,1.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-09-14 02:00:00.000,"Sähkö, Pätö",kWh,2023,9,14,2,30.751000000136,6.3,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-02-26 18:00:00.000,"Sähkö, Pätö",kWh,2023,2,26,18,8.84991101694917,-6.9,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2023-06-07 21:00:00.000,"Sähkö, Pätö",kWh,2023,6,7,21,18.4039999999944,7.5,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
2020-04-06 15:00:00.000,Lämpö,MWh,2020,4,6,15,0.049,8,Yleissivistävien oppilaitosten rak.,5164.5,4610,4433.2,22630.0,,25
